coin,sentiment_3,sum,mean,count
@107,Fear,-148600.211574,-38.54739599844358,3855
@107,Neutral,219551.950858,113.63972611697723,1932
@107,Greed,2712961.179732,238.41824235275507,11379
BTC,Fear,485706.484369,96.96675671171892,5009
BTC,Neutral,165980.345627,91.60063224448123,1812
BTC,Greed,216357.902642,51.6613903156638,4188
ETH,Fear,949384.807475,429.19747173372514,2212
ETH,Neutral,61574.088597999995,82.53899275871314,746
ETH,Greed,309019.94277900003,136.1321333828194,2270
FARTCOIN,Fear,-148825.885776,-195.30956138582678,762
FARTCOIN,Neutral,-1621.812307,-13.079131508064515,124
FARTCOIN,Greed,49760.484898,38.936216665101725,1278
HYPE,Fear,1322390.162085,72.2696558140234,18298
HYPE,Neutral,300100.241102,35.14877501780276,8538
HYPE,Greed,325994.196574,62.994047647149756,5175
MELANIA,Fear,294228.291485,311.35268940211637,945
MELANIA,Neutral,41298.450046,412.98450046,100
MELANIA,Greed,54824.328325,47.01914950686106,1166
PURR/USDC,Fear,-4942.544659,-98.85089318,50
PURR/USDC,Neutral,-12286.961953,-96.74773191338582,127
PURR/USDC,Greed,92490.564631,91.57481646633663,1010
SOL,Fear,846773.79024,289.59431950752395,2924
SOL,Neutral,303376.19465,374.5385119135803,810
SOL,Greed,489405.942616,377.6280421419753,1296
