date,n_trades,total_pnl,total_volume,win_rate,avg_trade_size,fg_value,n_accounts,pnl_per_volume_bps
2023-05-01,3,0.0,477.0,,159.0,63.0,1,0.0
2023-12-05,9,0.0,50005.83,,5556.203333333334,75.0,1,0.0
2023-12-14,11,-205.43473700000007,113203.35,66.66666666666666,10291.213636363636,72.0,1,-18.147407916815187
2023-12-15,2,-24.632033999999997,10609.95,0.0,5304.975,70.0,1,-23.215975570101644
2023-12-16,3,0.0,15348.77,,5116.256666666667,67.0,1,0.0
2023-12-17,14,304.982785,116278.02,63.63636363636363,8305.572857142857,73.0,1,26.228756303211902
2023-12-18,2,0.0,31164.179999999997,,15582.089999999998,65.0,1,0.0
2023-12-19,15,1000.5386120000001,91602.41,100.0,6106.827333333334,73.0,1,109.22623236659386
2023-12-20,18,162.732282,141636.79,100.0,7868.710555555556,74.0,1,11.489407660255504
2023-12-21,49,537.211402,125233.97,96.29629629629629,2555.795306122449,70.0,1,42.896619982581406
2023-12-22,10,141.832675,88874.28,100.0,8887.428,74.0,1,15.958798766077203
2023-12-23,13,146.936704,78438.25,100.0,6033.711538461538,70.0,1,18.73278712872865
2023-12-24,39,1008.619956,402954.94,88.23529411764706,10332.177948717948,71.0,1,25.03058917704297
2023-12-25,3,-245.081348,59948.51,0.0,19982.836666666666,73.0,1,-40.88197488144409
2023-12-27,28,-704.8892269999999,171411.06,30.76923076923077,6121.823571428571,73.0,1,-41.1227389294483
2023-12-28,23,-970.730876,100117.25,0.0,4352.923913043478,73.0,1,-96.95940270033384
2023-12-29,50,508.92214299999995,569559.72,75.0,11391.1944,65.0,1,8.935360509693346
2023-12-30,52,354.998648,702550.21,69.6969696969697,13510.58096153846,68.0,1,5.053000382705743
2024-01-01,18,-129.53146,264239.52999999997,16.666666666666664,14679.973888888888,65.0,1,-4.902047017719114
2024-01-02,17,783.979116,121348.74,88.88888888888889,7138.1611764705885,71.0,1,64.60545993308212
2024-01-03,67,866.015507,394499.36,80.0,5888.050149253731,70.0,1,21.952266462485515
2024-01-04,5,-67.60364,99792.54000000001,0.0,19958.508,68.0,1,-6.774418208014346
2024-01-05,66,164.141565,1703942.66,56.52173913043478,25817.31303030303,72.0,1,0.9633045104933287
